ROAD_CLASS,DISTRICT,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,NEIGHBOURHOOD_158,YEAR,MONTH_sin,MONTH_cos,DOW_sin,DOW_cos,HOUR_sin,HOUR_cos,INVAGE_00to04,INVAGE_05to09,INVAGE_10to14,INVAGE_15to19,INVAGE_20to24,INVAGE_25to29,INVAGE_30to34,INVAGE_35to39,INVAGE_40to44,INVAGE_45to49,INVAGE_50to54,INVAGE_55to59,INVAGE_60to64,INVAGE_65to69,INVAGE_70to74,INVAGE_75to79,INVAGE_80to84,INVAGE_85to89,INVAGE_90to94,INVAGE_Over95,INVAGE_unknown,NUMPERSONS,MANOEUVER_ChangingLanes,MANOEUVER_GoingAhead,MANOEUVER_MakingUTurn,MANOEUVER_Merging,MANOEUVER_Other,MANOEUVER_Overtaking,MANOEUVER_Parked,MANOEUVER_PullingAwayfromShoulderorCurb,MANOEUVER_PullingOntoShoulderortowardCurb,MANOEUVER_Reversing,MANOEUVER_SlowingorStopping,MANOEUVER_Stopped,MANOEUVER_TurningLeft,MANOEUVER_TurningRight,MANOEUVER_Unknown,DRIVACT_DisobeyedTrafficControl,DRIVACT_DrivingProperly,DRIVACT_ExceedingSpeedLimit,DRIVACT_FailedtoYieldRightofWay,DRIVACT_FollowingtooClose,DRIVACT_ImproperLaneChange,DRIVACT_ImproperPassing,DRIVACT_ImproperTurn,DRIVACT_Lostcontrol,DRIVACT_Other,DRIVACT_SpeedtooFastForCondition,DRIVACT_SpeedtooSlow,DRIVACT_WrongWayonOneWayRoad,NEAREST_HOSPITAL,DIST_TO_HOS
Major Arterial,Toronto and East York,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,False,False,True,False,False,False,False,True,True,True,False,True,False,Woodbine-Lumsden,2006,0.0,1.0,-0.7818314824680299,0.6234898018587334,0.7071067811865476,0.7071067811865476,0,0,0,2,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,Michael Garron Hospital,1690.0925577490125
Major Arterial,Toronto and East York,No Control,Snow,"Dark, artificial",Slush,Non-Fatal Injury,SMV Other,False,False,True,False,False,False,False,True,False,False,False,False,False,Woodbine Corridor,2006,0.0,1.0,-0.7818314824680299,0.6234898018587334,0.7071067811865476,0.7071067811865476,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Michael Garron Hospital,1319.0544087382732
Major Arterial,Toronto and East York,No Control,Other,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,True,False,True,False,False,False,False,False,False,False,False,False,False,Kensington-Chinatown,2006,0.0,1.0,0.0,1.0,0.9659258262890683,-0.25881904510252063,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,University Health Network - Toronto Western,64.43356539087836
Major Arterial,Toronto and East York,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,True,False,True,False,False,False,False,False,False,False,False,False,False,Dufferin Grove,2006,0.0,1.0,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,University Health Network - Toronto Western,2353.035634614411
Major Arterial,North York,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,True,False,True,False,False,False,False,False,False,False,False,False,False,Don Valley Village,2006,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,North York General Hospital - General Site,2166.055889401585
Minor Arterial,Scarborough,No Control,Clear,Dark,Wet,Fatal,Approaching,False,False,True,False,False,False,False,False,False,False,False,False,False,Morningside Heights,2006,0.0,1.0,-0.9749279121818236,-0.2225209339563146,-0.25881904510252157,0.9659258262890681,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,Oak Valley Health - Markham,5418.87199960521
Minor Arterial,Toronto and East York,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,False,False,True,False,False,False,False,False,False,True,True,False,False,St Lawrence-East Bayfront-The Islands,2006,0.0,1.0,-0.7818314824680299,0.6234898018587334,-0.7071067811865471,-0.7071067811865479,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,Unity Health Toronto - St. Michael's,1406.3616821904434
Major Arterial,Etobicoke York,Pedestrian Crossover,Clear,Dark,Dry,Fatal,Pedestrian Collisions,True,False,True,False,False,False,False,True,False,True,False,False,False,Elms-Old Rexdale,2006,0.0,1.0,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,William Osler Health System - Etobicoke,4405.454338276992
Major Arterial,Scarborough,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,True,False,True,False,False,False,False,False,False,False,False,False,False,Dorset Park,2006,0.0,1.0,0.0,1.0,-0.7071067811865471,-0.7071067811865479,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Scarborough Health Network - Scarborough General,4344.411018674145
Major Arterial,Scarborough,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,True,False,False,False,False,True,False,False,False,False,False,False,False,Agincourt North,2006,0.0,1.0,0.0,1.0,-1.0,-1.8369701987210297e-16,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Scarborough Health Network - Birchmount,5015.13400303456
